,0
1146,18
1147,18
1148,9
1149,11
1150,11
1151,18
1152,11
1153,18
1154,18
1155,18
1156,18
1157,11
1158,18
1159,18
1160,18
1161,18
1162,9
1163,11
1164,18
1165,18
1166,18
1167,18
1168,18
1169,18
1170,18
1171,9
1172,18
1173,18
1174,18
1175,18
1176,18
1177,18
1178,18
1179,9
1180,11
1181,9
1182,18
1183,18
1184,18
1185,18
1186,18
1187,9
1188,9
1189,18
1190,9
1191,18
1192,18
1193,9
1194,18
1195,9
1196,18
1197,18
1198,18
1199,9
1200,9
1201,9
1202,18
1203,9
1204,18
1205,18
1206,9
1207,18
1208,18
1209,18
1210,9
1211,18
1212,18
1213,11
1214,11
1215,18
1216,18
1217,18
1218,18
1219,18
1220,18
1221,18
1222,18
1223,11
1224,18
1225,11
1226,18
1227,9
1228,9
1229,9
1230,18
1231,18
1232,11
1233,18
1234,18
1235,18
1236,9
1237,18
1238,18
1239,18
1240,11
1241,18
1242,18
1243,9
1244,9
1245,18
1246,11
1247,18
1248,11
1249,9
1250,18
1251,9
1252,18
1253,9
1254,9
1255,9
1256,11
1257,18
1258,18
1259,9
1260,9
1261,18
1262,18
1263,18
1264,18
1265,18
1266,18
1267,18
1268,11
1269,18
1270,18
1271,18
1272,18
1273,11
1274,18
1275,18
1276,11
1277,9
1278,18
1279,9
1280,18
1281,18
1282,18
1283,18
1284,18
1285,11
1286,11
1287,18
1288,18
1289,18
1290,9
1291,18
1292,18
1293,18
1294,18
1295,18
1296,11
1297,18
1298,18
1299,11
1300,18
1301,18
1302,18
1303,11
1304,18
1305,18
1306,18
1307,18
1308,9
1309,9
1310,18
1311,9
1312,18
1313,18
1314,18
1315,18
1316,11
1317,18
1318,9
1319,9
1320,18
1321,18
1322,18
1323,18
1324,18
1325,9
1326,18
1327,18
1328,18
1329,18
1330,9
1331,18
1332,18
1333,18
1334,18
1335,11
1336,18
1337,18
1338,18
1339,18
1340,9
1341,18
1342,18
1343,9
1344,18
1345,18
1346,18
1347,17
1348,11
1349,9
1350,18
1351,18
1352,18
1353,11
1354,18
1355,18
1356,18
1357,9
1358,18
1359,11
1360,18
1361,11
1362,18
1363,18
1364,18
1365,9
1366,18
1367,18
1368,18
1369,18
1370,18
1371,11
1372,18
1373,18
1374,18
1375,18
1376,18
1377,18
1378,9
1379,18
1380,11
1381,18
1382,18
1383,11
1384,9
1385,9
1386,18
1387,9
1388,9
1389,18
1390,18
1391,18
1392,18
1393,18
1394,18
1395,18
1396,18
1397,11
1398,18
1399,11
1400,18
1401,11
1402,9
1403,18
1404,18
1405,18
1406,18
1407,18
1408,18
1409,18
1410,18
1411,9
1412,18
1413,9
1414,15
1415,11
1416,9
1417,18
1418,18
1419,18
1420,18
1421,18
1422,18
1423,18
1424,18
1425,18
1426,11
1427,18
1428,11
1429,9
1430,9
1431,11
1432,11
1433,18
1434,18
1435,9
1436,18
1437,9
1438,18
1439,18
1440,18
1441,11
1442,18
1443,18
1444,11
1445,11
1446,18
1447,18
1448,18
1449,18
1450,11
1451,18
1452,18
1453,18
1454,9
1455,11
1456,9
1457,11
1458,11
1459,9
1460,18
1461,18
1462,18
1463,18
1464,18
1465,11
1466,18
1467,18
1468,18
1469,11
1470,9
1471,9
1472,18
1473,18
1474,18
1475,18
1476,18
1477,18
1478,18
1479,18
1480,9
1481,18
1482,18
1483,18
1484,18
1485,18
1486,9
1487,18
1488,9
1489,18
1490,11
1491,18
1492,11
1493,11
1494,9
1495,18
1496,18
1497,11
1498,18
1499,18
1500,9
1501,11
1502,18
1503,9
1504,9
1505,18
1506,18
1507,9
1508,11
1509,9
1510,9
1511,11
1512,9
1513,18
1514,11
1515,9
1516,18
1517,18
1518,18
1519,18
1520,18
1521,18
1522,18
1523,11
1524,9
1525,18
1526,9
1527,9
1528,18
1529,9
1530,18
1531,11
1532,11
1533,18
1534,11
1535,18
1536,11
1537,18
1538,18
1539,18
1540,18
1541,18
1542,18
1543,11
1544,11
1545,11
1546,18
1547,11
1548,11
1549,18
1550,18
1551,9
1552,18
1553,9
1554,18
1555,18
1556,18
1557,9
1558,18
1559,9
1560,18
1561,18
1562,18
1563,18
1564,18
1565,11
1566,18
1567,18
1568,18
1569,18
1570,18
1571,18
1572,18
1573,18
1574,18
1575,11
1576,18
1577,18
1578,18
1579,9
1580,18
1581,18
1582,18
1583,18
1584,18
1585,18
1586,18
1587,9
1588,11
1589,11
1590,18
1591,9
1592,9
1593,18
1594,11
1595,18
1596,18
1597,18
1598,9
1599,9
1600,9
1601,9
1602,18
1603,18
1604,11
1605,18
1606,18
1607,9
1608,9
1609,18
1610,9
1611,9
1612,18
1613,18
1614,18
1615,18
1616,18
1617,18
1618,18
1619,18
1620,9
1621,9
1622,18
1623,18
1624,18
1625,18
1626,11
1627,11
1628,9
1629,18
1630,18
1631,11
1632,9
1633,11
1634,18
1635,18
1636,18
1637,9
1638,18
1639,18
1640,9
1641,18
1642,18
1643,18
1644,18
1645,11
1646,9
1647,18
1648,9
1649,18
1650,18
1651,18
1652,18
1653,18
1654,11
1655,11
1656,11
1657,11
1658,9
1659,18
1660,11
1661,18
1662,11
1663,9
1664,9
1665,18
1666,11
1667,11
1668,11
1669,18
1670,9
1671,18
1672,18
1673,18
1674,18
1675,11
1676,18
1677,18
1678,18
1679,9
1680,18
1681,18
1682,9
1683,18
1684,9
1685,18
1686,18
1687,11
1688,18
1689,9
1690,15
1691,18
1692,18
1693,11
1694,15
1695,18
1696,11
1697,18
1698,18
1699,18
1700,11
1701,18
1702,11
1703,18
1704,18
1705,18
1706,18
1707,9
1708,18
1709,9
1710,9
1711,9
1712,18
1713,18
1714,9
1715,18
1716,18
1717,18
1718,11
1719,18
1720,11
1721,18
1722,9
1723,18
1724,9
1725,18
1726,18
1727,9
1728,18
1729,11
1730,9
1731,18
1732,9
1733,18
1734,18
1735,18
1736,9
1737,18
1738,18
1739,18
1740,11
1741,11
1742,18
1743,9
1744,18
1745,11
1746,18
1747,9
1748,18
1749,18
1750,18
1751,11
1752,18
1753,18
1754,18
1755,18
1756,18
1757,18
1758,18
1759,11
1760,18
1761,11
1762,11
1763,18
1764,18
1765,11
1766,9
1767,9
1768,11
1769,18
1770,11
1771,18
1772,11
1773,9
1774,9
1775,18
1776,18
1777,11
1778,11
1779,11
1780,18
1781,18
1782,9
1783,11
1784,18
1785,11
1786,18
1787,18
1788,18
1789,18
1790,18
1791,18
1792,18
1793,9
1794,18
1795,18
1796,9
1797,18
1798,9
1799,18
1800,18
1801,18
1802,18
1803,9
1804,18
1805,9
1806,18
1807,18
1808,18
1809,18
1810,9
1811,18
1812,9
1813,9
1814,18
1815,18
1816,9
1817,18
1818,18
1819,18
1820,18
1821,18
1822,9
1823,9
1824,11
1825,11
1826,11
1827,11
1828,11
1829,9
1830,18
1831,11
1832,9
1833,9
1834,18
1835,9
1836,18
1837,9
1838,18
1839,18
1840,18
1841,18
1842,11
1843,11
1844,9
1845,11
1846,18
1847,18
1848,18
1849,18
1850,11
1851,11
1852,9
1853,11
1854,9
1855,18
1856,18
1857,9
1858,9
1859,9
1860,11
1861,18
1862,18
1863,18
1864,18
1865,9
1866,18
1867,18
1868,11
1869,11
1870,18
1871,18
1872,18
1873,18
1874,18
1875,18
1876,18
1877,18
1878,11
1879,17
1880,11
1881,18
1882,18
1883,9
1884,18
1885,9
1886,18
1887,18
1888,9
1889,11
1890,18
1891,11
1892,9
1893,9
1894,9
1895,18
1896,18
1897,18
1898,18
1899,11
1900,18
1901,18
1902,18
1903,11
1904,11
1905,18
1906,18
1907,18
1908,9
1909,11
1910,18
1911,9
1912,11
1913,18
1914,18
1915,18
1916,11
1917,9
1918,9
1919,18
1920,9
1921,9
1922,18
1923,9
1924,18
1925,18
1926,9
1927,18
1928,18
1929,18
1930,11
1931,9
1932,9
1933,11
1934,18
1935,9
1936,18
1937,18
1938,18
1939,18
1940,18
1941,18
1942,18
1943,18
1944,18
1945,18
1946,18
1947,11
1948,18
1949,18
1950,18
1951,18
1952,18
1953,18
1954,18
1955,18
1956,18
1957,11
1958,9
1959,18
1960,18
1961,18
1962,18
1963,18
1964,18
1965,18
1966,18
1967,9
1968,18
1969,18
1970,11
1971,11
1972,9
1973,18
1974,11
1975,18
1976,18
1977,11
1978,18
1979,18
1980,18
1981,11
1982,18
1983,18
1984,11
1985,9
1986,18
1987,18
1988,9
1989,18
1990,5
1991,11
1992,11
1993,17
1994,18
1995,18
1996,18
1997,9
1998,18
1999,9
2000,11
2001,18
2002,18
2003,18
2004,18
2005,18
2006,18
2007,11
2008,18
2009,18
2010,9
2011,18
2012,18
2013,18
2014,9
2015,18
2016,18
2017,11
2018,9
2019,11
2020,9
2021,11
2022,11
2023,18
2024,9
2025,18
2026,9
2027,11
2028,9
2029,18
2030,18
2031,18
2032,18
2033,9
2034,18
2035,11
2036,18
2037,18
2038,18
2039,18
2040,11
2041,18
2042,9
2043,11
2044,18
2045,18
2046,11
2047,9
2048,18
2049,18
2050,18
2051,9
2052,11
2053,18
2054,18
2055,18
2056,18
2057,11
2058,9
2059,18
2060,11
2061,11
2062,18
2063,9
2064,18
2065,18
2066,18
2067,18
2068,18
2069,11
2070,9
2071,18
2072,9
2073,18
2074,18
2075,18
2076,18
2077,18
2078,9
2079,18
2080,18
2081,18
2082,18
2083,18
2084,9
2085,11
2086,18
2087,18
2088,9
2089,9
2090,0
2091,18
2092,18
2093,18
2094,9
2095,18
2096,18
2097,11
2098,11
2099,9
2100,9
2101,18
2102,11
2103,18
2104,18
2105,18
2106,18
2107,18
2108,18
2109,18
2110,11
2111,18
2112,11
2113,18
2114,9
2115,18
2116,9
2117,18
2118,18
2119,18
2120,18
2121,9
2122,18
2123,11
2124,18
2125,18
2126,11
2127,18
2128,18
2129,18
2130,11
2131,15
2132,11
2133,18
2134,18
2135,9
2136,11
2137,17
2138,18
2139,18
2140,18
2141,11
2142,11
2143,9
2144,18
2145,18
2146,18
2147,18
2148,11
2149,18
2150,18
2151,17
2152,18
2153,18
2154,11
2155,18
2156,18
2157,18
2158,9
2159,11
2160,9
2161,9
2162,18
2163,18
2164,18
2165,11
2166,18
2167,9
2168,18
2169,18
2170,9
2171,18
2172,9
2173,9
2174,17
2175,11
2176,18
2177,18
2178,11
2179,18
2180,18
2181,18
2182,18
2183,18
2184,11
2185,18
2186,18
2187,11
2188,9
2189,18
2190,9
2191,18
2192,9
2193,18
2194,18
2195,18
2196,18
2197,18
2198,18
2199,11
2200,18
2201,9
2202,18
2203,9
2204,9
2205,18
2206,18
2207,9
2208,9
2209,15
2210,9
2211,18
2212,9
2213,9
2214,11
2215,18
2216,11
2217,18
2218,18
2219,18
2220,9
2221,18
2222,18
2223,11
2224,18
2225,18
2226,18
2227,9
2228,11
2229,18
2230,18
2231,17
2232,9
2233,11
2234,11
2235,11
2236,18
2237,11
2238,9
2239,18
2240,18
2241,11
2242,18
2243,11
2244,18
2245,9
2246,18
2247,9
2248,11
2249,18
2250,18
2251,9
2252,18
2253,18
2254,18
2255,11
2256,18
2257,18
2258,18
2259,18
2260,9
2261,18
2262,18
2263,18
2264,18
2265,18
2266,18
2267,11
2268,18
2269,11
2270,18
2271,18
2272,18
2273,9
2274,9
2275,18
2276,18
2277,9
2278,9
2279,11
2280,9
2281,9
2282,11
2283,18
2284,9
2285,5
2286,18
2287,18
2288,18
2289,18
2290,18
2291,18
2292,11
2293,18
2294,9
2295,11
2296,9
2297,11
2298,11
2299,18
2300,18
2301,11
2302,18
2303,18
2304,18
2305,11
2306,9
2307,18
2308,9
2309,11
2310,18
2311,18
2312,18
2313,9
2314,9
2315,18
2316,9
2317,18
2318,18
2319,18
2320,9
2321,18
2322,18
2323,18
2324,18
2325,5
2326,18
2327,18
2328,9
2329,18
2330,18
2331,11
2332,9
2333,18
2334,18
2335,18
2336,18
2337,18
2338,11
2339,18
2340,11
2341,18
2342,9
2343,18
2344,11
2345,18
2346,9
2347,18
2348,9
2349,11
2350,18
2351,18
2352,18
2353,18
2354,11
2355,11
2356,18
2357,11
2358,18
2359,9
2360,9
2361,18
2362,18
2363,9
2364,11
2365,9
2366,11
2367,18
2368,11
2369,18
2370,18
2371,18
2372,9
2373,18
2374,18
2375,18
2376,18
2377,18
2378,11
2379,18
2380,18
2381,18
2382,11
2383,9
2384,11
2385,18
2386,18
2387,11
2388,11
2389,18
2390,9
2391,11
2392,9
2393,9
2394,18
2395,18
2396,18
2397,11
2398,18
2399,18
2400,11
2401,11
2402,11
2403,18
2404,18
2405,9
2406,18
2407,18
2408,18
2409,18
2410,18
2411,11
2412,9
2413,18
2414,18
2415,11
2416,18
2417,18
2418,18
2419,9
2420,9
2421,18
2422,18
2423,18
2424,18
2425,11
2426,11
2427,18
2428,18
2429,18
2430,18
2431,9
2432,18
2433,9
2434,18
2435,11
2436,9
2437,18
2438,18
2439,18
2440,18
2441,18
2442,18
2443,9
2444,18
2445,18
2446,9
2447,18
2448,9
2449,11
2450,11
2451,18
2452,11
2453,18
2454,11
2455,11
2456,18
2457,18
2458,9
2459,11
2460,18
2461,18
2462,18
2463,18
2464,18
2465,18
2466,11
2467,18
2468,18
2469,11
2470,9
2471,9
2472,9
2473,18
2474,18
2475,11
2476,18
2477,18
2478,18
2479,9
2480,18
2481,18
2482,9
2483,11
2484,18
2485,11
2486,11
2487,11
2488,18
2489,18
2490,9
2491,11
2492,18
2493,18
2494,9
2495,11
2496,11
2497,18
2498,18
2499,18
2500,9
2501,18
2502,18
2503,18
2504,18
2505,18
2506,11
2507,18
2508,11
2509,9
2510,18
2511,9
2512,11
2513,11
2514,18
2515,11
2516,18
2517,9
2518,11
2519,11
2520,11
2521,18
2522,18
2523,18
2524,18
2525,11
2526,18
2527,9
2528,18
2529,18
2530,18
2531,18
2532,18
2533,18
2534,18
2535,18
2536,11
2537,18
2538,9
2539,18
2540,11
2541,9
2542,18
2543,9
2544,18
2545,18
2546,18
2547,18
2548,9
2549,9
2550,18
2551,18
2552,11
2553,18
2554,18
2555,18
2556,18
2557,18
2558,18
2559,18
2560,18
2561,18
2562,11
2563,18
2564,18
2565,18
2566,18
2567,9
2568,18
2569,9
2570,11
2571,18
2572,9
2573,18
2574,9
2575,9
2576,18
2577,9
2578,9
2579,18
2580,18
2581,9
2582,18
2583,11
2584,9
2585,9
2586,9
2587,9
2588,18
2589,9
2590,18
2591,11
2592,18
2593,18
2594,9
2595,11
2596,18
2597,11
2598,18
2599,18
2600,9
2601,9
2602,18
2603,11
2604,18
2605,18
2606,18
2607,18
2608,9
2609,11
2610,18
2611,18
2612,18
2613,18
2614,18
2615,18
2616,11
2617,11
2618,18
2619,9
2620,11
2621,18
2622,11
2623,18
2624,11
2625,18
2626,9
2627,18
2628,11
2629,9
2630,11
2631,18
2632,18
2633,18
2634,11
2635,18
2636,18
2637,18
2638,11
2639,11
2640,18
2641,11
2642,9
2643,18
2644,18
2645,18
2646,18
2647,18
2648,11
2649,18
2650,9
2651,9
2652,18
2653,11
2654,9
2655,18
2656,9
2657,18
2658,18
2659,18
2660,18
2661,18
2662,18
2663,18
2664,18
2665,18
2666,9
2667,9
2668,18
2669,18
2670,18
2671,18
2672,9
2673,11
2674,9
2675,9
2676,9
2677,9
2678,18
2679,9
2680,18
2681,11
2682,18
2683,9
2684,18
2685,9
2686,11
2687,11
2688,11
2689,18
2690,18
2691,18
2692,9
2693,9
2694,9
2695,18
2696,9
2697,18
2698,18
2699,18
2700,18
2701,9
2702,18
2703,9
2704,18
2705,18
2706,18
2707,18
2708,18
2709,18
2710,11
2711,18
2712,18
2713,18
2714,18
2715,18
2716,11
2717,18
2718,18
2719,18
2720,18
2721,18
2722,18
2723,18
2724,11
2725,18
2726,18
2727,18
2728,9
2729,15
2730,9
2731,11
2732,18
2733,18
2734,18
2735,18
2736,11
2737,18
2738,9
2739,9
2740,9
2741,18
2742,11
2743,17
2744,11
2745,11
2746,11
2747,11
2748,18
2749,9
2750,9
2751,11
2752,18
2753,9
2754,11
2755,18
2756,18
2757,9
2758,11
2759,18
2760,11
2761,18
2762,9
2763,9
2764,18
2765,11
2766,18
2767,18
2768,18
2769,18
2770,18
2771,18
2772,18
2773,18
2774,18
2775,18
2776,18
2777,9
2778,9
2779,11
2780,18
2781,9
2782,18
2783,11
2784,18
2785,9
2786,18
2787,18
2788,18
2789,18
2790,9
2791,11
2792,18
2793,18
2794,18
2795,11
2796,18
2797,18
2798,18
2799,11
2800,18
2801,9
2802,18
2803,18
2804,18
2805,18
2806,18
2807,18
2808,11
2809,11
2810,11
2811,11
2812,18
2813,11
2814,11
2815,18
2816,11
2817,9
2818,11
2819,18
2820,18
2821,9
2822,18
2823,18
2824,18
2825,18
2826,18
2827,18
2828,9
2829,18
2830,11
2831,18
2832,18
2833,11
2834,18
2835,18
2836,18
2837,18
2838,9
2839,18
2840,9
2841,18
2842,18
2843,18
2844,11
2845,5
2846,18
2847,18
2848,11
2849,11
2850,18
2851,18
2852,9
2853,18
2854,18
2855,9
2856,20
2857,18
2858,11
2859,9
2860,9
2861,9
2862,18
2863,11
2864,18
2865,18
2866,18
2867,9
2868,9
2869,18
2870,18
2871,18
2872,18
2873,18
2874,18
2875,18
2876,17
2877,18
2878,18
2879,18
2880,11
2881,18
2882,18
2883,11
2884,18
2885,11
2886,18
2887,11
2888,18
2889,11
2890,11
2891,18
2892,18
2893,11
2894,9
2895,18
2896,18
2897,9
2898,9
2899,11
2900,11
2901,9
2902,11
2903,9
2904,9
2905,18
2906,11
2907,11
2908,18
2909,9
2910,17
2911,9
2912,18
2913,9
2914,9
2915,18
2916,11
2917,9
2918,18
2919,18
2920,11
2921,15
2922,18
2923,11
2924,18
2925,11
2926,18
2927,9
2928,18
2929,9
2930,18
2931,18
2932,9
2933,9
2934,18
2935,11
2936,18
2937,18
2938,11
2939,9
2940,18
2941,11
2942,11
2943,9
2944,18
2945,18
2946,18
2947,17
2948,18
2949,15
2950,9
2951,11
2952,9
2953,9
2954,11
2955,18
2956,18
2957,18
2958,18
2959,18
2960,18
2961,11
2962,9
2963,9
2964,11
2965,18
2966,18
2967,18
2968,18
2969,18
2970,9
2971,18
2972,9
2973,18
2974,18
2975,11
2976,11
2977,9
2978,18
2979,18
2980,9
2981,11
2982,9
2983,18
2984,9
2985,18
2986,9
2987,11
2988,11
2989,18
2990,9
2991,18
2992,18
2993,9
2994,11
2995,11
2996,18
2997,18
